strategy_id,annual_return,max_drawdown,sharpe,win_rate,turnover,warning_count,created_at
batch_dividend_lowvol_quality,1.285397,-0.001298,21.624245,0.925532,1.0,2,2026-05-02 22:43:30
batch_earnings_event,1.246873,-0.001271,21.624245,0.925532,1.0,2,2026-05-02 22:43:31
batch_multi_factor_index_enhanced,1.304904,-0.001311,21.624245,0.925532,1.0,2,2026-05-02 22:43:30
batch_short_term_reversal,1.153365,-0.001204,21.624245,0.925532,1.0,2,2026-05-02 22:43:31
batch_smallcap_momentum_quality,1.304904,-0.001311,21.624245,0.925532,1.0,2,2026-05-02 22:43:30
demo_smallcap_v1,1.304904,-0.001311,21.624245,0.925532,1.0,0,2026-05-02 12:59:59
batch_dragon_tiger_momentum,1.184137,-0.007139,16.670474,0.861702,1.866667,2,2026-05-02 22:43:31
batch_momentum_trend,0.584253,-0.0026,8.974741,0.361702,2.75,1,2026-05-02 22:43:30
batch_etf_trend_rotation,0.768822,-0.003642,8.568905,0.319149,3.0,1,2026-05-02 22:43:30
