序号,代码,名称,最新价 2026.04.16,涨跌幅(%) 2026.04.16,市场码,市场名,指数小类,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额 2026.04.16,市盈率(TTM) 2026.04.16,总市值(元) 2026.04.16
1,852214,通信应用增值服务(申万),3250.47,5.56,62,SWI,申万三级行业,171.33,3301.08,3089.38,0.00,1.31,10.94亿,259.23亿,65.90,3305.43亿
2,857371,锂电池(申万),32747.47,4.70,62,SWI,申万三级行业,1469.42,33213.58,31382.27,0.00,0.96,11.66亿,645.72亿,31.16,2.74万亿
3,851024,通信网络设备及器件(申万),41445.79,4.60,62,SWI,申万三级行业,1820.92,41704.88,39081.73,0.00,0.86,9.07亿,1063.85亿,80.77,2.66万亿
4,801056,能源金属(申万),24869.56,4.52,62,SWI,申万二级行业,1074.56,25122.20,23807.50,0.00,1.14,7.42亿,380.63亿,47.14,7996.18亿
5,857375,蓄电池及其他电池(申万),2347.33,4.36,62,SWI,申万三级行业,98.13,2369.69,2254.62,0.00,0.75,2.32亿,52.21亿,48.06,1076.47亿
6,852213,通信工程及服务(申万),1117.39,4.31,62,SWI,申万三级行业,46.15,1124.08,1062.25,0.00,1.44,7.39亿,97.53亿,800.88,1195.03亿
7,858812,摩托车(申万),4790.80,4.29,62,SWI,申万三级行业,197.07,4839.07,4517.43,0.00,1.30,7386.00万,30.90亿,30.23,1677.59亿
8,801043,冶钢原料(申万),4084.29,4.25,62,SWI,申万二级行业,166.56,4099.81,3916.02,0.00,1.13,2.92亿,28.71亿,59.08,2229.01亿
9,801102,通信设备(申万),9033.67,4.14,62,SWI,申万二级行业,359.15,9097.48,8550.94,0.00,0.88,24.73亿,1618.26亿,77.01,3.85万亿
10,850551,铝(申万),6530.95,4.07,62,SWI,申万三级行业,255.50,6569.89,6342.46,0.00,1.06,16.25亿,217.76亿,20.88,1.24万亿
